City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,cayenne,4.9333,-52.3333,24.02,100,20,0.0,GF,1667704444
341,mount darwin,-16.7725,31.5838,18.97,84,75,1.15,ZW,1667704590
342,torbay,47.6666,-52.7314,12.64,90,75,6.69,CA,1667704590
343,micco,27.8806,-80.5003,27.27,87,21,1.79,US,1667704591
344,muli,2.9167,73.5667,27.23,77,94,4.84,MV,1667704591
345,labuhan,-6.8844,112.2051,28.7,74,100,4.04,ID,1667704591
346,bandarbeyla,9.4942,50.8122,25.24,77,18,3.14,SO,1667704592
347,taoudenni,22.6783,-3.9836,22.98,14,0,4.59,ML,1667704592
348,hayden,47.766,-116.7866,3.58,62,0,4.63,US,1667704593
349,lebu,-37.6167,-73.65,10.18,90,3,2.48,CL,1667704593
350,hay river,60.8156,-115.7999,-12.39,87,100,6.29,CA,1667704428
351,port blair,11.6667,92.75,28.56,64,88,6.1,IN,1667704594
352,iberia,29.9502,-91.7507,18.0,77,100,0.0,US,1667704396
353,port shepstone,-30.7414,30.455,18.98,79,0,2.69,ZA,1667704595
354,anacortes,48.5126,-122.6127,7.45,80,40,6.69,US,1667704595
355,bubaque,11.2833,-15.8333,28.17,66,9,4.44,GW,1667704596
356,marsh harbour,26.5412,-77.0636,26.67,72,2,10.21,BS,1667704596
357,burnie,-41.0667,145.9167,18.86,70,80,2.84,AU,1667704597
358,warsaw,52.2298,21.0118,8.69,96,75,2.06,PL,1667704472
359,waipawa,-41.4122,175.5153,13.31,60,71,4.21,NZ,1667704598
360,mookane,-23.688,26.6595,22.91,57,3,2.2,BW,1667704599
361,vyazemskiy,47.5378,134.7525,1.96,38,4,6.24,RU,1667704599
